id,name,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
10093,"Abakanowicz, Magdalena",F,1930,0,Polska,Unknown,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
0,"Abbey, Edwin Austin",M,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2756,"Abbott, Berenice",F,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
1,"Abbott, Lemuel Francis",M,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
622,"Abrahams, Ivor",M,1935,0,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ivor-abrahams-622
2606,Absalon,M,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
9550,"Abts, Tomma",F,1967,0,"Kiel, Deutschland",Unknown,http://www.tate.org.uk/art/artists/tomma-abts-9550
623,"Acconci, Vito",M,1940,0,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/vito-acconci-623
624,"Ackling, Roger",M,1947,2014,"Isleworth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/roger-ackling-624
625,"Ackroyd, Norman",M,1938,0,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-ackroyd-625
2411,"Adam, Robert",M,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
626,"Adams, Harry William",M,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
627,"Adams, Norman",M,1927,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-adams-627
628,"Adams, Robert",M,1917,1984,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-adams-628
629,"Adeney, Bernard",M,1878,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernard-adeney-629
630,"Adler, Jankel",M,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
2608,"Adshead, Mary",F,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
631,"Adzak, Roy",M,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
632,Afro,M,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
633,"Agar, Eileen",F,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
2,"Agasse, Jacques Laurent",M,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3098,"Ahtila, Eija-Liisa",F,1959,0,"Hämeenlinna, Suomi",Unknown,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
8208,"Ai, Weiwei",M,1957,0,"Beijing, Zhonghua",Unknown,http://www.tate.org.uk/art/artists/ai-weiwei-8208
634,"Aitchison, Craigie",M,1926,2009,"Edinburgh, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/craigie-aitchison-634
635,"Ajmone, Giuseppe",M,1923,2005,"Carpignano Sesia, Italia",Unknown,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
14744,"Aksel, Erdag",M,1953,0,"Izmir, Türkiye",Unknown,http://www.tate.org.uk/art/artists/erdag-aksel-14744
7794,"Al-Ani, Jananne",F,1966,0,"Kirkuk, Al-‘Iraq",Unknown,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
3067,"Albers, Anni",F,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
636,"Albers, Josef",M,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
637,"Albright, Ivan",M,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
638,"Aldridge, John",M,1905,1983,"Greenwich, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-aldridge-638
639,"Alechinsky, Pierre",M,1927,0,"Bruxelles, België",Unknown,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
640,"Alexander, Edwin",M,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
2470,"Alexander, William",M,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
11315,"Alimpiev, Victor",M,1973,0,"Moskva, Rossiya",Unknown,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
2472,Alken Family,M,1756,1894,Unknown,Unknown,http://www.tate.org.uk/art/artists/alken-family-2472
3,"Alken, Henry Thomas",M,1785,1851,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
2471,"Alken, Samuel, Senior",M,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
2473,"Allan, David",M,1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
641,"Allan, Julian Phelps",F,1892,1996,"Southampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
4,"Allan, Sir William",M,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
2304,"Allen, George Warner",M,1916,1988,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
5,"Allen, Joseph William",M,1803,1852,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
12153,"Allen, Phillip",M,1967,0,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/phillip-allen-12153
12520,"Allen, Richard",M,1933,1999,"Worcestershire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-allen-12520
642,"Alley, Anthea",F,1927,1993,"Seremban, Malaysia",Unknown,http://www.tate.org.uk/art/artists/anthea-alley-642
643,"Allington, Edward",M,1951,0,"Cumbria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/edward-allington-643
644,"Allinson, Adrian",M,1890,1959,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/adrian-allinson-644
2273,"Allom, Thomas",M,1804,1872,"London, United Kingdom","Barnes, United Kingdom",http://www.tate.org.uk/art/artists/thomas-allom-2273
6259,"Allora, Jennifer",F,1974,0,"Philadelphia, United States",Unknown,http://www.tate.org.uk/art/artists/jennifer-allora-6259
6,"Alma-Tadema, Sir Lawrence",M,1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
12989,"Almeida, Helena",F,1934,0,"Lisboa, Portugal",Unknown,http://www.tate.org.uk/art/artists/helena-almeida-12989
2657,"Almond, Darren",M,1971,0,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/darren-almond-2657
7620,"Althamer, Pawel",M,1967,0,"Warszawa, Polska",Unknown,http://www.tate.org.uk/art/artists/pawel-althamer-7620
645,"Altoon, John",M,1925,1969,"Los Angeles, United States",Los Angeles,http://www.tate.org.uk/art/artists/john-altoon-645
4427,"Alÿs, Francis",M,1959,0,"Antwerpen, België",Unknown,http://www.tate.org.uk/art/artists/francis-alys-4427
7,"Amiconi, Giacomo",M,1682,1752,"Napoli, Italia","Madrid, España",http://www.tate.org.uk/art/artists/giacomo-amiconi-7
646,"Amiet, Cuno",M,1868,1961,Solothurn,Schweiz,http://www.tate.org.uk/art/artists/cuno-amiet-646
7533,"Amorales, Carlos",M,1970,0,"Ciudad de México, México",Unknown,http://www.tate.org.uk/art/artists/carlos-amorales-7533
647,"Amuchastegui, Axel",M,1921,2002,"Córdoba, España",Unknown,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
14647,"Amzalag, Michael",M,1967,0,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/michael-amzalag-14647
12583,"Anderson, Hurvin",M,1965,0,"Birmingham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
8,"Anderton, Henry",M,1630,1665,Unknown,Unknown,http://www.tate.org.uk/art/artists/henry-anderton-8
8961,"Andrade Tudela, Armando",M,1975,0,"Lima, Perú",Unknown,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961
15587,"Andrade, Jonathas de",M,1982,0,"Maceió, Brasil",Unknown,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587
648,"Andre, Carl",M,1935,0,"Quincy, United States",Unknown,http://www.tate.org.uk/art/artists/carl-andre-648
2704,"Andreenko, Michel",M,1894,1982,"Odessa, Ukrayina","Paris, France",http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704
649,"Andrews, Michael",M,1928,1995,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
9,"Angellis, Peter",M,1685,1734,"Dunkerque, France","Rennes, France",http://www.tate.org.uk/art/artists/peter-angellis-9
650,"Annesley, David",M,1936,0,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-annesley-650
5221,Anonymous,-,0,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/anonymous-5221
651,"Anquetin, Louis",M,1861,1932,"Eure, France","Paris, France",http://www.tate.org.uk/art/artists/louis-anquetin-651
652,"Anrep, Boris",M,1883,1969,"Sankt-Peterburg, Rossiya",Unknown,http://www.tate.org.uk/art/artists/boris-anrep-652
13677,"Ansarinia, Nazgol",F,1979,0,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
10,"Ansdell, Richard",M,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-ansdell-10
12475,"Anselmo, Giovanni",M,1934,0,"Piemonte, Italia",Unknown,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",M,0,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/ant-farm-chip-lord-born-1944-doug-michels-1943-2003-curtis-schreier-born-1944-15135
11604,"Antin, Eleanor",F,1935,0,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/eleanor-antin-11604
653,"Anuszkiewicz, Richard",M,1930,0,"Erie, United States",Unknown,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
10241,"Apóstol, Alexander",M,1969,0,"Barquisimeto, Venezuela",Unknown,http://www.tate.org.uk/art/artists/alexander-apostol-10241
654,"Appel, Karel",M,1921,2006,"Amsterdam, Nederland","Zürich, Schweiz",http://www.tate.org.uk/art/artists/karel-appel-654
655,"Appelbee, Leonard",M,1914,2000,"Fulham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/leonard-appelbee-655
656,"Appleyard, Fred",M,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/fred-appleyard-656
2364,"Araeen, Rasheed",M,1935,0,"Karachi, Pakistan",Unknown,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
657,"Arakawa, Shusaku",-,1936,2010,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657
2752,"Araki, Nobuyoshi",M,1940,0,"Tokyo, Nihon",Unknown,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752
10494,"Araujo, Juan",M,1971,0,"Caracas, Venezuela",Unknown,http://www.tate.org.uk/art/artists/juan-araujo-10494
5271,"Arbus, Diane",F,1923,1971,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/diane-arbus-5271
12604,"Arcangel, Cory",M,1978,0,"Buffalo, United States",Unknown,http://www.tate.org.uk/art/artists/cory-arcangel-12604
658,"Archipenko, Alexander",M,1887,1964,"Kiyev, Ukrayina","New York, United States",http://www.tate.org.uk/art/artists/alexander-archipenko-658
659,"Ardizzone, Edward",M,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",http://www.tate.org.uk/art/artists/edward-ardizzone-659
660,"Ardon, Mordecai",M,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",http://www.tate.org.uk/art/artists/mordecai-ardon-660
661,"Arikha, Avigdor",M,1929,2010,"Radauti, România","Paris, France",http://www.tate.org.uk/art/artists/avigdor-arikha-661
662,Arman,M,1928,2005,"Nice, France",Unknown,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
663,"Armfield, Maxwell Ashby",M,1881,1972,"Ringwood, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
11,"Armitage, Edward",M,1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",http://www.tate.org.uk/art/artists/edward-armitage-11
664,"Armitage, Kenneth",M,1916,2002,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/kenneth-armitage-664
12,"Armstead, Henry Hugh",M,1828,1905,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
665,"Armstrong, John",M,1893,1973,"Hastings, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-armstrong-665
13,"Arnald, George",M,1763,1841,"Berkshire, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/george-arnald-13
666,"Arnatt, Keith",M,1930,2008,"Oxford, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/keith-arnatt-666
667,"Arp, Jean",M,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
16245,Art & Language (Harold Hurrell),M,1940,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245
16236,Art & Language (Ian Burn),M,1939,1993,"Geelong, Australia",Unknown,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236
16838,Art & Language (Michael Baldwin),M,1945,0,"Chipping Norton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838
2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",-,1944,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202
17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",-,1967,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",-,1939,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
2474,"Artaud, William",M,1763,1823,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-artaud-2474
669,"Artschwager, Richard",M,1923,2013,"Washington, United States",Unknown,http://www.tate.org.uk/art/artists/richard-artschwager-669
670,"Askew, Victor",M,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",http://www.tate.org.uk/art/artists/victor-askew-670
5229,"Ataman, Kutlug",M,1961,0,"Istanbul, Türkiye",Unknown,http://www.tate.org.uk/art/artists/kutlug-ataman-5229
6630,"Atay, Fikret",M,1974,0,"Batman, Türkiye",Unknown,http://www.tate.org.uk/art/artists/fikret-atay-6630
15601,"Atkins, Ed",M,1982,0,United Kingdom,Unknown,http://www.tate.org.uk/art/artists/ed-atkins-15601
14,"Atkins, Samuel",M,1787,1808,Unknown,Unknown,http://www.tate.org.uk/art/artists/samuel-atkins-14
671,"Atkinson, Conrad",M,1940,0,"Cumbria, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/conrad-atkinson-671
2412,"Atkinson, John Augustus",M,1775,1830,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412
672,"Atkinson, Lawrence",M,1873,1931,Unknown,Unknown,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
11829,"Atkinson, Terry",M,1939,0,"Barnsley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/terry-atkinson-11829
673,"Atlan, Jean-Michel",M,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",http://www.tate.org.uk/art/artists/jean-michel-atlan-673
7639,Atlas Group,-,1999,0,Unknown,Unknown,http://www.tate.org.uk/art/artists/atlas-group-7639
15557,"Atlas, Charles",M,1958,0,"Saint Louis City, United States",Unknown,http://www.tate.org.uk/art/artists/charles-atlas-15557
13674,"Attia, Kader",M,1970,0,"Dugny, France",Unknown,http://www.tate.org.uk/art/artists/kader-attia-13674
674,"Atwood, Clare",F,1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom",http://www.tate.org.uk/art/artists/clare-atwood-674
675,"Auerbach, Arnold",M,1898,1978,"Liverpool, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/arnold-auerbach-675
676,"Auerbach, Frank",M,1931,0,"Berlin, Deutschland",Unknown,http://www.tate.org.uk/art/artists/frank-auerbach-676
14648,"Augustyniak, Mathias",M,1968,0,"Cavaillon, France",Unknown,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648
15,"Aumonier, James",M,1832,1911,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-aumonier-15
2398,"Austen, David",M,1960,0,"Harlow, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-austen-2398
677,"Austin, Robert",M,1895,1973,"Leicester, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-austin-677
5711,"Avedon, Richard",M,1923,2004,"New York, United States","San Antonio, United States",http://www.tate.org.uk/art/artists/richard-avedon-5711
10764,"Avery, Charles",M,1973,0,"Oban, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/charles-avery-10764
678,"Avery, Milton",M,1893,1965,"Altmar, United States","New York, United States",http://www.tate.org.uk/art/artists/milton-avery-678
2714,"Aviline, François Antoine",M,1727,1780,Unknown,Unknown,http://www.tate.org.uk/art/artists/francois-antoine-aviline-2714
2479,"Aylesford, Heneage Finch, Fifth Earl of",M,1786,1859,Unknown,Unknown,http://www.tate.org.uk/art/artists/heneage-finch-fifth-earl-of-aylesford-2479
2480,"Aylesford, Heneage Finch, Fourth Earl of",M,1751,1812,Unknown,Unknown,http://www.tate.org.uk/art/artists/heneage-finch-fourth-earl-of-aylesford-2480
679,"Ayot, Pierre",M,1943,0,"Québec, Canada","Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679
680,"Ayres, OBE Gillian",F,1930,0,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
681,"Ayrton, Michael",M,1921,1975,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/michael-ayrton-681
14743,"Baalbaki, Ayman",M,1975,0,"Marj ‘Uyun, Al-Lubnan",Unknown,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743
13866,"Bäckström, Miriam",F,1967,0,"Stockholm, Sverige",Unknown,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
682,"Bacon, Francis",M,1909,1992,"Dublin, Éire","Madrid, España",http://www.tate.org.uk/art/artists/francis-bacon-682
18070,"Bacon, John",-,1740,1799,Unknown,Unknown,http://www.tate.org.uk/art/artists/john-bacon-18070
683,"Bacon, John Henry F.",M,1868,1915,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
2370,"Bacon, Sir Nathaniel",M,1585,1627,Unknown,Unknown,http://www.tate.org.uk/art/artists/sir-nathaniel-bacon-2370
12918,"Baehnisch, Ruth",-,1910,1997,Unknown,Unknown,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
684,"Baer, Jo",F,1929,0,"Seattle, United States",Unknown,http://www.tate.org.uk/art/artists/jo-baer-684
685,"Baertling, Olle",M,1911,1981,"Halmstad, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/olle-baertling-685
16,"Baily, Edward Hodges",M,1788,1867,"Bristol, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/edward-hodges-baily-16
686,"Baj, Enrico",M,1924,2003,"Milano, Italia",Unknown,http://www.tate.org.uk/art/artists/enrico-baj-686
13678,"Bakhshi Moakhar, Mahmoud",M,1977,0,"Tehran, Îran",Unknown,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
687,"Baldessari, John",M,1931,0,"National City, United States",Unknown,http://www.tate.org.uk/art/artists/john-baldessari-687
2360,"Balka, Miroslaw",M,1958,0,"Warszawa, Polska",Unknown,http://www.tate.org.uk/art/artists/miroslaw-balka-2360
688,"Balla, Giacomo",M,1871,1958,"Torino, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/giacomo-balla-688
12038,"Ballen, Roger",M,1950,0,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/roger-ballen-12038
5373,"Baltz, Lewis",M,1945,0,"Newport Beach, United States",Unknown,http://www.tate.org.uk/art/artists/lewis-baltz-5373
690,"Banc, Jef",M,1930,0,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/jef-banc-690
2687,"Banner, Fiona",F,1966,0,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/fiona-banner-2687
691,"Banting, John",M,1902,1971,"Chelsea, United Kingdom","Hastings, United Kingdom",http://www.tate.org.uk/art/artists/john-banting-691
692,"Baran, Stefan",M,1922,0,"Dormans, France",Unknown,http://www.tate.org.uk/art/artists/stefan-baran-692
4731,"Barclay, Claire",F,1968,0,"Paisley, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/claire-barclay-4731
18,"Barenger, James",M,1780,1831,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barenger-18
12686,"Barham, Anna",F,1974,0,"Sutton Coldfield, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anna-barham-12686
693,"Barker, Clive",M,1940,0,"Luton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/clive-barker-693
694,"Barker, Margaret",F,1907,0,"Sydenham, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/margaret-barker-694
19,"Barker, Thomas, of Bath",M,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
695,"Barlach, Ernst",M,1870,1938,"Wedel, Deutschland","Rostock, Deutschland",http://www.tate.org.uk/art/artists/ernst-barlach-695
20,"Barlow, Francis",M,1626,1704,Unknown,"London, United Kingdom",http://www.tate.org.uk/art/artists/francis-barlow-20
10908,"Barlow, Phyllida",F,1944,0,"Newcastle upon Tyne, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/phyllida-barlow-10908
2476,"Barnard, Rev. William Henry",M,1767,1818,Unknown,Unknown,http://www.tate.org.uk/art/artists/rev-william-henry-barnard-2476
2362,"Barney, Matthew",M,1967,0,"San Francisco, United States",Unknown,http://www.tate.org.uk/art/artists/matthew-barney-2362
696,"Barni, Roberto",M,1939,0,"Pistoia, Italia",Unknown,http://www.tate.org.uk/art/artists/roberto-barni-696
697,"Barns-Graham, Wilhelmina",F,1912,2004,"Saint Andrews, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
14953,"Barrada, Yto",F,1971,0,"Paris, France",Unknown,http://www.tate.org.uk/art/artists/yto-barrada-14953
22,"Barret, George, Junior",M,1767,1842,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-junior-22
21,"Barret, George, Senior",M,1728,1784,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-senior-21
10168,"Barriball, Anna",F,1972,0,"Plymouth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/anna-barriball-10168
23,"Barron, Hugh",M,1747,1791,Unknown,Unknown,http://www.tate.org.uk/art/artists/hugh-barron-23
14311,"Barros, Geraldo de",M,1923,1998,Unknown,Unknown,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
2477,"Barrow, Joseph Charles",M,1789,1802,Unknown,Unknown,http://www.tate.org.uk/art/artists/joseph-charles-barrow-2477
24,"Barry, James",M,1741,1806,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barry-24
6882,"Bartana, Yael",F,1970,0,"‘Afula, Yisra'el",Unknown,http://www.tate.org.uk/art/artists/yael-bartana-6882
2678,"Barth, Uta",F,1958,0,"Berlin, Deutschland",Unknown,http://www.tate.org.uk/art/artists/uta-barth-2678
698,"Bartlett, Jennifer",F,1941,0,"Long Beach, United States",Unknown,http://www.tate.org.uk/art/artists/jennifer-bartlett-698
2478,"Bartolozzi, Francesco",M,1727,1815,"Firenze, Italia","Lisboa, Portugal",http://www.tate.org.uk/art/artists/francesco-bartolozzi-2478
6217,"Basbaum, Ricardo",M,1961,0,"São Paulo, Brasil",Unknown,http://www.tate.org.uk/art/artists/ricardo-basbaum-6217
699,"Baselitz, Georg",M,1938,0,"Sachsen, Deutschland",Unknown,http://www.tate.org.uk/art/artists/georg-baselitz-699
700,"Baskin, Leonard",M,1922,2000,"New Brunswick, United States","Northampton, United States",http://www.tate.org.uk/art/artists/leonard-baskin-700
4915,"Batchelor, David",M,1955,0,"Dundee, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/david-batchelor-4915
25,"Bateman, James",M,1815,1849,Unknown,Unknown,http://www.tate.org.uk/art/artists/james-bateman-25
701,"Bateman, James",M,1893,1959,"Kendal, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-bateman-701
26,"Bates, Harry",M,1850,1899,"Stevenage, United Kingdom","Saint John's Wood, United Kingdom",http://www.tate.org.uk/art/artists/harry-bates-26
702,"Bates, Maxwell",M,1906,1980,"Calgary, Canada","Victoria, Canada",http://www.tate.org.uk/art/artists/maxwell-bates-702
8807,"Batterham, Richard",M,1936,0,United Kingdom,Unknown,http://www.tate.org.uk/art/artists/richard-batterham-8807
703,"Bauchant, André",M,1873,1958,"Château-Renault, France","Montoire-sur-le-Loir, France",http://www.tate.org.uk/art/artists/andre-bauchant-703
704,"Bauer, Marius",M,1867,1932,"s Gravenhage, Nederland","Amsterdam, Nederland",http://www.tate.org.uk/art/artists/marius-bauer-704
705,"Baumeister, Willi",M,1889,1955,"Stuttgart, Deutschland","Stuttgart, Deutschland",http://www.tate.org.uk/art/artists/willi-baumeister-705
706,"Baumgarten, Lothar",M,1944,0,"Rheinsberg, Deutschland",Unknown,http://www.tate.org.uk/art/artists/lothar-baumgarten-706
707,"Bawden, Edward",M,1903,1989,Braintree,"Essex, United Kingdom",http://www.tate.org.uk/art/artists/edward-bawden-707
708,"Bawden, Richard",M,1936,0,"Essex, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/richard-bawden-708
709,"Baxter, Glen",M,1944,0,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/glen-baxter-709
710,"Baxter, Iain",M,1936,0,"England, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/iain-baxter-710
2413,"Baxter, Thomas Tennant",M,1894,1947,Unknown,Unknown,http://www.tate.org.uk/art/artists/thomas-tennant-baxter-2413
711,"Bayer, Herbert",M,1900,1985,"Haag am Hausruck, Österreich","Santa Barbara, United States",http://www.tate.org.uk/art/artists/herbert-bayer-711
712,"Bayes, Gilbert",M,1872,1953,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/gilbert-bayes-712
